20100506,000000,74.7900000,76.9900000,73.5300000,73.8500000,288953286
20100507,000000,70.9600000,72.7000000,69.5100000,70.3500000,376102154
20100511,000000,73.6000000,75.1000000,71.1500000,75.0000000,302678172
20100512,000000,74.2900000,82.3000000,74.1000000,81.9300000,375175511
20100513,000000,82.6800000,84.7300000,79.4200000,80.8000000,395687867
20100514,000000,79.8100000,80.5500000,76.9200000,77.4300000,234354676
20100517,000000,75.3000000,77.4500000,74.8500000,76.0100000,322247824
20100518,000000,76.9900000,78.2800000,75.7000000,77.1200000,301167472
20100519,000000,75.4900000,75.8800000,73.4300000,73.6800000,262833253
20100520,000000,74.0100000,75.3000000,69.2300000,69.9000000,378181485
20100521,000000,70.5000000,71.7400000,67.1600000,69.3000000,448771102
20100524,000000,70.9900000,71.7100000,69.1300000,69.9600000,287536945
20100525,000000,67.3800000,67.6400000,63.8100000,64.3300000,313892852
20100526,000000,66.1700000,69.3900000,65.6000000,69.1200000,517011123
20100527,000000,69.3600000,71.7600000,68.1000000,70.6500000,411848429
20100528,000000,71.2100000,72.0700000,69.8000000,70.2000000,271518522
20100531,000000,70.2900000,71.4300000,69.9300000,71.0000000,111111543
20100601,000000,70.4300000,71.6000000,68.0800000,70.7000000,248943161
20100602,000000,69.5300000,71.2600000,68.9200000,70.9500000,310612661
20100603,000000,72.9800000,73.2600000,72.0000000,72.0100000,224359720
20100604,000000,72.2600000,73.5300000,69.5000000,70.2500000,305215180
20100607,000000,67.6500000,71.7400000,67.4000000,71.1400000,270585434
20100608,000000,71.9800000,72.4900000,70.1800000,70.9500000,308890882
20100609,000000,71.7400000,72.5700000,70.6300000,71.9000000,253838637
20100610,000000,72.0800000,73.3500000,70.7700000,73.2900000,251607832
20100611,000000,73.7600000,73.8000000,71.3500000,72.1900000,192359104
20100615,000000,72.6500000,76.0000000,72.2400000,76.0000000,241875695
20100616,000000,77.0000000,77.4400000,75.3100000,76.7100000,263409279
20100617,000000,76.4800000,79.7400000,76.1300000,78.5000000,341705028
20100618,000000,78.8900000,80.3000000,77.4300000,80.3000000,231118759
20100621,000000,82.0100000,84.5600000,81.8000000,84.0200000,212706694
20100622,000000,83.0000000,83.9000000,81.0300000,82.4100000,256299831
20100623,000000,81.5900000,83.0500000,80.5500000,80.8500000,173616966
20100624,000000,81.7300000,82.0800000,79.9300000,80.2800000,181104210
20100625,000000,80.0700000,80.3700000,77.7000000,78.0000000,196920634
20100628,000000,78.5400000,80.7000000,78.2300000,80.1300000,168813490
20100629,000000,79.0000000,79.0000000,76.4400000,77.5000000,176724856
20100630,000000,77.1100000,78.4300000,76.0500000,76.5000000,279507669
20100701,000000,75.1000000,75.5000000,71.7900000,71.9000000,237625783
20100702,000000,73.1900000,73.9300000,71.5000000,72.9800000,274749056
20100705,000000,73.0600000,73.7900000,72.7600000,73.3700000,94716715
20100706,000000,74.1600000,76.7700000,74.0000000,76.7000000,218357012
20100707,000000,75.6600000,77.5300000,74.0500000,77.4900000,269422892
20100708,000000,78.9100000,79.4500000,77.1300000,77.1800000,244029750
20100709,000000,78.2000000,78.5900000,76.0000000,77.6600000,184373531
20100712,000000,77.0000000,80.2500000,76.9500000,79.8000000,235777541
20100713,000000,79.3900000,82.7000000,79.1100000,82.4700000,266715548
20100714,000000,83.0100000,83.4700000,81.6700000,82.0600000,227868576
20100715,000000,82.2200000,84.2700000,80.5500000,80.7600000,288190150
20100716,000000,81.1300000,81.7500000,78.4300000,79.0700000,242405005
20100719,000000,78.6500000,80.8300000,78.5000000,80.5000000,168547801
20100720,000000,81.1700000,81.7000000,78.6900000,79.8000000,199749366
20100721,000000,80.7100000,82.2600000,80.3800000,81.9000000,225330502
20100722,000000,80.9900000,84.0500000,80.8100000,83.9300000,239318525
20100723,000000,84.0000000,84.2000000,82.3600000,83.0100000,209165213
20100726,000000,84.1100000,84.7200000,83.1000000,84.1900000,168546779
20100727,000000,84.2200000,85.7400000,83.5500000,84.6200000,209242717
20100728,000000,84.9000000,85.6000000,83.8100000,84.2800000,193767068
20100729,000000,84.5100000,86.7000000,84.2100000,86.5800000,164976895
20100730,000000,85.8900000,86.1700000,83.1000000,84.5600000,180324601
20100802,000000,85.4000000,86.8400000,85.3900000,86.5800000,157237778
20100803,000000,86.8500000,86.9000000,85.4300000,85.8400000,137070522
20100804,000000,85.4400000,86.7300000,84.6000000,85.8400000,166833439
20100805,000000,85.9100000,86.1900000,83.9300000,84.3000000,160989689
20100806,000000,84.7900000,84.9800000,82.4600000,82.8300000,146529445
20100809,000000,83.5000000,84.2000000,83.0600000,83.6800000,103287373
20100810,000000,83.1000000,83.2800000,81.6200000,82.8000000,132671065
20100811,000000,81.9500000,82.2300000,80.5200000,80.9300000,141426303
20100812,000000,80.2800000,81.6800000,79.8400000,80.9200000,173871830
20100813,000000,82.0100000,82.2800000,79.9200000,80.7100000,159362438
20100816,000000,81.1600000,81.3900000,79.0100000,79.9700000,155632974
20100817,000000,80.4000000,81.4700000,79.8800000,81.2600000,151110456
20100818,000000,81.1600000,81.2600000,79.8100000,80.6000000,133566044
20100819,000000,81.1500000,81.7500000,79.3100000,79.4000000,164717210
20100820,000000,79.3900000,79.9200000,78.0400000,78.3700000,152264492
20100823,000000,78.4900000,78.9600000,77.2700000,77.9500000,149805508
20100824,000000,77.4000000,77.4100000,75.2000000,75.4000000,178252851
20100825,000000,75.2000000,76.4500000,73.5500000,73.9900000,223856574
20100826,000000,74.9800000,76.7500000,74.5500000,76.6200000,246551462
20100827,000000,76.0500000,77.3500000,75.2500000,77.0100000,219012614
20100830,000000,78.0000000,78.1700000,77.1100000,77.3000000,114745637
20100831,000000,76.0300000,78.4500000,75.7200000,78.3100000,155335410
20100901,000000,78.5500000,80.5600000,77.6000000,80.4200000,187977718
20100902,000000,80.4400000,81.2500000,79.9400000,80.6300000,165630262
20100903,000000,80.7000000,82.3500000,80.2700000,81.7200000,172140080
20100906,000000,82.1100000,82.4000000,81.5600000,81.7400000,60558474
20100907,000000,81.3900000,81.4000000,79.7700000,79.9500000,132388734
20100908,000000,79.6600000,82.3100000,79.4200000,82.1800000,210469915
20100909,000000,82.0500000,84.5000000,81.9900000,83.6600000,217850068
20100910,000000,83.3700000,84.1900000,82.7300000,83.3600000,130419823
20100913,000000,84.5500000,85.1600000,84.4500000,84.5900000,138914273
20100914,000000,84.2500000,85.8600000,84.0000000,84.5000000,210389382
20100915,000000,84.2300000,84.6700000,83.3700000,84.4500000,158521119
20100916,000000,84.0000000,84.8000000,82.8300000,83.0000000,161423269
20100917,000000,83.7200000,84.1000000,82.0500000,82.1500000,125449121
20100920,000000,82.5000000,83.4300000,81.6500000,83.3700000,124879746
20100921,000000,83.5100000,84.3200000,83.1400000,83.8400000,100222378
20100922,000000,83.8700000,83.8900000,82.5000000,82.7300000,137378603
20100923,000000,82.8500000,84.3700000,82.6600000,84.3000000,165787170
20100924,000000,83.8900000,85.0000000,83.6200000,84.8100000,146043704
20100927,000000,85.2600000,85.4400000,83.4100000,83.6600000,124405263
20100928,000000,83.2600000,83.9500000,82.5400000,83.0600000,125459622
20100929,000000,83.4600000,84.6200000,83.2700000,83.9000000,135735995
20100930,000000,83.6900000,86.1500000,83.6100000,86.0800000,156733139
20101001,000000,85.9400000,89.9200000,85.7200000,89.0900000,332429890
20101004,000000,89.3000000,90.7700000,88.9500000,89.8800000,194032721
20101005,000000,89.8000000,92.0500000,89.4200000,91.9700000,198775753
20101006,000000,92.5200000,92.9900000,90.7100000,91.2000000,210406027
20101007,000000,91.4100000,91.7200000,90.0900000,90.4000000,145137617
20101008,000000,90.2200000,90.5700000,89.1500000,90.5000000,125230555
20101011,000000,90.9800000,91.8000000,90.9100000,91.7400000,64277589
